#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.155645E+00   0.122553E+07   0.121736E+07   0.188075E+01   0.182557E+01   0.457532E+05   0.121894E+07   0.122425E+07   0.121894E+07  -0.401843E-01   0.877148E+06   0.877008E+06   0.267891E+00
   0.161034E+00   0.116095E+07   0.115262E+07   0.166418E+01   0.161535E+01   0.410819E+05   0.115460E+07   0.115964E+07   0.115460E+07  -0.380634E-01   0.830858E+06   0.830717E+06   0.259267E+00
   0.166423E+00   0.110666E+07   0.109853E+07   0.148519E+01   0.144162E+01   0.371736E+05   0.110057E+07   0.110539E+07   0.110057E+07  -0.362823E-01   0.791982E+06   0.791846E+06   0.242077E+00
   0.171811E+00   0.106232E+07   0.105471E+07   0.133765E+01   0.129840E+01   0.339213E+05   0.105649E+07   0.106112E+07   0.105649E+07  -0.348292E-01   0.760266E+06   0.760140E+06   0.218420E+00
   0.177200E+00   0.102568E+07   0.101881E+07   0.121422E+01   0.117859E+01   0.311748E+05   0.102012E+07   0.102460E+07   0.102012E+07  -0.336301E-01   0.734093E+06   0.733978E+06   0.191938E+00
   0.182589E+00   0.993930E+06   0.987853E+06   0.110829E+01   0.107577E+01   0.287912E+05   0.988629E+06   0.992975E+06   0.988629E+06  -0.325919E-01   0.711432E+06   0.711330E+06   0.166565E+00
   0.187978E+00   0.964360E+06   0.958989E+06   0.101462E+01   0.984847E+00   0.266536E+05   0.959294E+06   0.963516E+06   0.959294E+06  -0.316248E-01   0.690323E+06   0.690231E+06   0.145443E+00
   0.193367E+00   0.934586E+06   0.929724E+06   0.929289E+00   0.902019E+00   0.246724E+05   0.929724E+06   0.933822E+06   0.929724E+06  -0.306500E-01   0.669046E+06   0.668961E+06   0.130268E+00
   0.198755E+00   0.903049E+06   0.898458E+06   0.849897E+00   0.824956E+00   0.227939E+05   0.898363E+06   0.902328E+06   0.898363E+06  -0.296161E-01   0.646480E+06   0.646399E+06   0.121142E+00
   0.204144E+00   0.869527E+06   0.864988E+06   0.775677E+00   0.752914E+00   0.210050E+05   0.864993E+06   0.868814E+06   0.864993E+06  -0.285160E-01   0.622468E+06   0.622387E+06   0.116865E+00
   0.209533E+00   0.834963E+06   0.830326E+06   0.706967E+00   0.686219E+00   0.193213E+05   0.830562E+06   0.834235E+06   0.830562E+06  -0.273809E-01   0.597692E+06   0.597611E+06   0.115483E+00
   0.214922E+00   0.800802E+06   0.796012E+06   0.644405E+00   0.625493E+00   0.177671E+05   0.796524E+06   0.800050E+06   0.796524E+06  -0.262588E-01   0.573200E+06   0.573117E+06   0.114899E+00
   0.220310E+00   0.768476E+06   0.763568E+06   0.588456E+00   0.571186E+00   0.163615E+05   0.764318E+06   0.767705E+06   0.764318E+06  -0.251971E-01   0.550026E+06   0.549942E+06   0.113392E+00
   0.225699E+00   0.739130E+06   0.734202E+06   0.539245E+00   0.523418E+00   0.151142E+05   0.735096E+06   0.738356E+06   0.735096E+06  -0.242337E-01   0.528998E+06   0.528915E+06   0.109953E+00
   0.231088E+00   0.713381E+06   0.708558E+06   0.496452E+00   0.481882E+00   0.140223E+05   0.709475E+06   0.712624E+06   0.709475E+06  -0.233891E-01   0.510561E+06   0.510480E+06   0.104372E+00
   0.236477E+00   0.691168E+06   0.686565E+06   0.459324E+00   0.445843E+00   0.130695E+05   0.687392E+06   0.690445E+06   0.687392E+06  -0.226611E-01   0.494671E+06   0.494594E+06   0.971163E-01
   0.241865E+00   0.671866E+06   0.667559E+06   0.426834E+00   0.414307E+00   0.122312E+05   0.668219E+06   0.671189E+06   0.668219E+06  -0.220290E-01   0.480874E+06   0.480801E+06   0.890697E-01
   0.247254E+00   0.654526E+06   0.650538E+06   0.397908E+00   0.386229E+00   0.114799E+05   0.651004E+06   0.653899E+06   0.651004E+06  -0.214615E-01   0.468485E+06   0.468418E+06   0.812225E-01
   0.252643E+00   0.638095E+06   0.634398E+06   0.371562E+00   0.360657E+00   0.107898E+05   0.634689E+06   0.637514E+06   0.634689E+06  -0.209236E-01   0.456745E+06   0.456682E+06   0.743989E-01
   0.258032E+00   0.621648E+06   0.618173E+06   0.347031E+00   0.336846E+00   0.101407E+05   0.618348E+06   0.621102E+06   0.618348E+06  -0.203849E-01   0.444986E+06   0.444926E+06   0.690822E-01
   0.263420E+00   0.604655E+06   0.601318E+06   0.323876E+00   0.314370E+00   0.952125E+04   0.601450E+06   0.604131E+06   0.601450E+06  -0.198279E-01   0.432826E+06   0.432768E+06   0.653612E-01
