#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   155   0.454399E+04  -0.461452E+02   0.210651E-03  -0.461452E+02   0.106404E+01  -0.104844E-05   0.210651E-03  -0.104844E-05   0.724357E-07
   156   0.457575E+04  -0.460569E+02   0.208819E-03  -0.460569E+02   0.105694E+01  -0.103353E-05   0.208819E-03  -0.103353E-05   0.720170E-07
   157   0.460728E+04  -0.459431E+02   0.207006E-03  -0.459431E+02   0.104946E+01  -0.101842E-05   0.207006E-03  -0.101842E-05   0.716017E-07
   158   0.463856E+04  -0.458035E+02   0.205213E-03  -0.458035E+02   0.104163E+01  -0.100313E-05   0.205213E-03  -0.100313E-05   0.711898E-07
   159   0.466960E+04  -0.456380E+02   0.203438E-03  -0.456380E+02   0.103343E+01  -0.987683E-06   0.203438E-03  -0.987683E-06   0.707812E-07
   160   0.470038E+04  -0.454464E+02   0.201682E-03  -0.454464E+02   0.102491E+01  -0.972101E-06   0.201682E-03  -0.972101E-06   0.703760E-07
   161   0.473088E+04  -0.452284E+02   0.199945E-03  -0.452284E+02   0.101606E+01  -0.956405E-06   0.199945E-03  -0.956405E-06   0.699742E-07
   162   0.476109E+04  -0.449839E+02   0.198226E-03  -0.449839E+02   0.100691E+01  -0.940615E-06   0.198226E-03  -0.940615E-06   0.695756E-07
   163   0.479100E+04  -0.447126E+02   0.196525E-03  -0.447126E+02   0.997491E+00  -0.924755E-06   0.196525E-03  -0.924755E-06   0.691804E-07
   164   0.482060E+04  -0.444143E+02   0.194843E-03  -0.444143E+02   0.987793E+00  -0.908844E-06   0.194843E-03  -0.908844E-06   0.687884E-07
   165   0.484988E+04  -0.440889E+02   0.193180E-03  -0.440889E+02   0.977843E+00  -0.892906E-06   0.193180E-03  -0.892906E-06   0.683996E-07
   166   0.487882E+04  -0.437363E+02   0.191534E-03  -0.437363E+02   0.967663E+00  -0.876960E-06   0.191534E-03  -0.876960E-06   0.680141E-07
   167   0.490742E+04  -0.433562E+02   0.189906E-03  -0.433562E+02   0.957274E+00  -0.861029E-06   0.189906E-03  -0.861029E-06   0.676318E-07
   168   0.493567E+04  -0.429488E+02   0.188296E-03  -0.429488E+02   0.946701E+00  -0.845134E-06   0.188296E-03  -0.845134E-06   0.672526E-07
   169   0.496356E+04  -0.425139E+02   0.186704E-03  -0.425139E+02   0.935964E+00  -0.829296E-06   0.186704E-03  -0.829296E-06   0.668766E-07
   170   0.499108E+04  -0.420514E+02   0.185130E-03  -0.420514E+02   0.925078E+00  -0.813537E-06   0.185130E-03  -0.813537E-06   0.665037E-07
   171   0.501822E+04  -0.415613E+02   0.183573E-03  -0.415613E+02   0.914073E+00  -0.797878E-06   0.183573E-03  -0.797878E-06   0.661339E-07
   172   0.504499E+04  -0.410435E+02   0.182034E-03  -0.410435E+02   0.902972E+00  -0.782341E-06   0.182034E-03  -0.782341E-06   0.657671E-07
   173   0.507136E+04  -0.404980E+02   0.180512E-03  -0.404980E+02   0.891795E+00  -0.766948E-06   0.180512E-03  -0.766948E-06   0.654035E-07
   174   0.509733E+04  -0.399248E+02   0.179008E-03  -0.399248E+02   0.880567E+00  -0.751719E-06   0.179008E-03  -0.751719E-06   0.650428E-07
   175   0.512289E+04  -0.393239E+02   0.177520E-03  -0.393239E+02   0.869324E+00  -0.736676E-06   0.177520E-03  -0.736676E-06   0.646852E-07
   176   0.514803E+04  -0.386953E+02   0.176050E-03  -0.386953E+02   0.858080E+00  -0.721835E-06   0.176050E-03  -0.721835E-06   0.643306E-07
